title,company,skills,job_description,location,experience,package,post_time,salary_min,salary_max,experience_min,experience_max
Security Architect,Advent Global Solutions,"CyberArk Privileged Access Management,Password Vault,Identity Access Management,CyberArk Vault,Cyberark,Privilege Access Management,Access,Security Engineering",Educational Qualification : A Bachelors or Masters Degree in Technology or similar streams as fulltime education is required<br><br>Minimum 5 year(s) of experience is required<br><br> Must have knowledge on integrating with Google Cloud Platform (GCP) using CyberArks Privilege Cloud solution <br><br>Preferred candidate profile . <br><br>Good to have skills : NA,Bengaluru,5-10 Yrs,6-16 Lacs PA,8 Days Ago,600000.0,1600000.0,5.0,10.0
It Security Specialist,Kiya.ai,"It Compliance,IT Risk Management,IT Security Management,Security,IT risk,Risk management,Risk,IT security","Required Skills & Qualifications:  . 8 10 years of experience in Information Security,with strong exposure to IT risk and compliance<br><br>Experience: 810 years. :  We are seeking a highly skilled Information Security professional with strong expertise in IT Risk Management,Technology Security,and Compliance<br><br>Prior experience with eGRC platforms such as Archer,ServiceNow,or MetricStream",Hyderabad,10-13 Yrs,9-17 Lacs PA,8 Days Ago,900000.0,1700000.0,10.0,13.0
Security Architect,Accenture,"android os,android,kotlin,java,application security,python,burp suite,x86 assembly","Educational Qualification : 15 years full time education. Summary :As a Malware Specialist specializing in Android Malware Reverse Engineering,you will be responsible for leading a team in the in-depth analysis of Android applications to identify data exfiltration,malware,and security breaches<br><br>Minimum . 5 year(s) of experience is required<br><br> Good to have skills : NA",Bengaluru,7-12 Yrs,Not disclosed,8 Days Ago,0.0,0.0,7.0,12.0
Security Engineer II,Safe Security,"Engineer II,Automation,cloud security,Manager Program Management,Vulnerability,Information technology,Monitoring,Python",Any of the following certifications would be preferred:  . - OSCP . - OSWE . - CRTP . - CRTO <br><br>Experience with Agile Scrum Methodology .,Bengaluru,2-4 Yrs,Not disclosed,7 Days Ago,0.0,0.0,2.0,4.0
Engineering Manager Cybersecurity,Kalypso It Solutions,"PMP,Automation,Operational excellence,IT strategy,Employee engagement,Agile,Business strategy,Continuous improvement","The Essentials - You Will Have:  . Bachelors degree in IT,Computer Engineering<br><br>The Preferred - You Might Also Have:  . Certifications in CISSP / CISM/CRISC / PMP. Stay ahead of latest technologies and trends (e. g.,AI Ops,edge computing,zero-trust security) and assess their potential impact on our organization<br><br> 5+ years of experience working on globally distributed teams.","Pune, Bengaluru",7-11 Yrs,Not disclosed,3 Days Ago,0.0,0.0,7.0,11.0
Cloud Security Engineer,Capgemini,"microsoft azure,cloud platforms,gcp,aws,amazon cloudwatch,python,cloud security,azure monitoring","Your profile . Hands-on experience with Microsoft Defender for Cloud and CASB solutions (e.g.,Microsoft Defender for Cloud Apps)",Bengaluru,4-6 Yrs,Not disclosed,Just Now,0.0,0.0,4.0,6.0
Security Analyst II,Herjavec Group,"Usage,Managed services,cloud security,Access management,SOC,Security Analyst,SIEM,splunk","Should hold at least one industry certification Sec+,CEH,SC 200,Any Cloud Certification and Cloud Security Fundamentals<br><br>Requirements:  . 3 or more years of progressing / in-depth IT security experience<br><br>Experience in SOC and Incident Response activities",Bengaluru,3-6 Yrs,Not disclosed,10 Days Ago,0.0,0.0,3.0,6.0
Senior Application Security Consultant,PRUDENT TECHNOLIGES & CONSULTING INC.,"Vapt,Devsecops,GPEN,Oscp,Red Teaming,Mitre Attack,Threat Modeling,Sast","8+ years of direct experience performing manual penetration testing assessments on desktop applications,mobile applications,web applications,cloud environments,API and AI / LM",Hyderabad,8-13 Yrs,Not disclosed,Today,0.0,0.0,8.0,13.0
Security Architect,Accenture,"risk assessment,cloud security,sap security,access management,vulnerability management,joining formalities,screening,hr generalist activities",Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years full time education<br><br>Skills:  - . Must To Have <br><br>Skills: Proficiency in SAP Security.- Good To Have,Jaipur,8-13 Yrs,Not disclosed,3 Days Ago,0.0,0.0,8.0,13.0
Security Engineer,Valuelabs,"SAST,Ci/Cd,Sonarqube,Dast,Security Engineering,Cd,Cd,Security","Roles and Responsibilities: experience with SonarQube installation,upgrades,and administration Strong knowledge of quality gates,rule management,and coding standards enforcement Expertise in integrating SonarQube with CI / CD pipeline multiple programming languages (Java,Python,JavaScript / TypeScript,C#,etc.)",Hybrid - Hyderabad,5-10 Yrs,Not disclosed,10 Days Ago,0.0,0.0,5.0,10.0
